Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		4.7051		4.7250		0.0000		0.1816		0.02500000
2		4.3086		4.1321		0.0000		0.2421		0.02387213
3		4.1860		3.8311		0.0000		0.2879		0.02273831
4		4.0346		4.2595		0.0000		0.2813		0.02159817
5		4.0148		3.5625		0.0000		0.3182		0.02045130
6		3.9729		4.4139		0.0000		0.3045		0.01929724
7		3.8961		3.8744		0.0000		0.3699		0.01813545
8		3.8521		4.1620		0.0000		0.3438		0.01696532
9		3.8176		4.0144		0.0000		0.3782		0.01578615
10		3.7662		4.1868		0.0000		0.3998		0.01459709
11		3.7537		3.8512		0.0000		0.3942		0.01339717
12		3.6827		3.6660		0.0000		0.4191		0.01218516
13		3.6780		3.1101		0.0000		0.4231		0.01095958
14		3.6303		3.7455		0.0000		0.4333		0.00971854
15		3.6185		3.8855		0.0000		0.4558		0.00845959
16		3.5529		3.6530		0.0000		0.4524		0.00717936
17		3.5744		3.4396		0.0000		0.4809		0.00587309
18		3.5285		3.4607		0.0000		0.4715		0.00453338
19		3.4883		3.5549		0.0000		0.4873		0.00314731
20		3.4488		3.3490		0.0000		0.4947		0.00168660
