Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3525		0.9083		0.0000		0.1892		0.00050000
2		0.7845		0.7531		0.0000		0.2250		0.00050000
3		0.6973		0.6798		0.0000		0.2480		0.00050000
4		0.6412		0.6478		0.0000		0.2564		0.00050000
5		0.6103		0.6274		0.0000		0.2628		0.00050000
6		0.5784		0.5942		0.0000		0.2768		0.00050000
7		0.5585		0.5669		0.0000		0.2760		0.00050000
8		0.5396		0.5776		0.0000		0.2893		0.00050000
9		0.5223		0.5358		0.0000		0.2959		0.00050000
10		0.5083		0.5452		0.0000		0.3009		0.00050000
11		0.4965		0.5247		0.0000		0.3169		0.00050000
12		0.4790		0.5119		0.0000		0.3222		0.00050000
13		0.4731		0.5015		0.0000		0.3382		0.00050000
14		0.4627		0.5077		0.0000		0.3270		0.00050000
15		0.4503		0.5076		0.0000		0.3365		0.00050000
16		0.4459		0.5219		0.0000		0.3530		0.00050000
17		0.4377		0.4667		0.0000		0.3642		0.00050000
18		0.4336		0.4660		0.0000		0.3730		0.00050000
19		0.4254		0.4742		0.0000		0.3695		0.00050000
20		0.4232		0.4714		0.0000		0.3795		0.00050000
